Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flux(G1;kg/(m^2*s)),Regression Depth(G1;m),Web(G1;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,34.66667,93361.0589,0,0.05754,75.0,0,0,0,0.006,0,0
0.0001,34.66745,93364.84756,14.1221,0.05754,74.99845,0.0,95.87832,0.0,0.006,20480.64894,0.0
0.0002,34.66823,93368.63633,14.12267,0.05753,74.9969,0.01187,95.87717,0.0,0.006,20481.48005,0.0
0.0003,34.66901,93372.42521,14.12324,0.05753,74.99536,0.01187,95.87601,0.0,0.006,20482.31119,0.0
0.0004,34.6698,93376.21421,14.12382,0.05753,74.99381,0.01187,95.87486,0.0,0.006,20483.14235,0.0
0.0005,34.67058,93380.00332,14.12439,0.05753,74.99226,0.01187,95.8737,0.0,0.006,20483.97353,0.0
0.0006,34.67136,93383.79254,14.12496,0.05753,74.99071,0.01187,95.87255,0.0,0.006,20484.80474,0.0
0.0007,34.67214,93387.58188,14.12553,0.05753,74.98917,0.01187,95.8714,0.0,0.006,20485.63597,0.0
0.0008,34.67292,93391.37133,14.12611,0.05753,74.98762,0.01187,95.87024,0.0,0.006,20486.46723,0.0
0.0009,34.67371,93395.16089,14.12668,0.05753,74.98607,0.01187,95.86909,0.0,0.006,20487.29852,0.0
0.001,34.67449,93398.95057,14.12725,0.05752,74.98452,0.01188,95.86793,0.0,0.006,20488.12983,0.0
0.0011,34.67527,93402.74036,14.12783,0.05752,74.98297,0.01188,95.86678,0.0,0.006,20488.96116,0.0
0.0012,34.67605,93406.53027,14.1284,0.05752,74.98143,0.01188,95.86563,0.0,0.006,20489.79252,0.0
0.0013,34.67684,93410.32028,14.12897,0.05752,74.97988,0.01188,95.86447,0.0,0.006,20490.6239,0.0
0.0014,34.67762,93414.11041,14.12955,0.05752,74.97833,0.01188,95.86332,0.0,0.006,20491.45531,0.0
0.0015,34.6784,93417.90066,14.13012,0.05752,74.97678,0.01188,95.86216,0.0,0.006,20492.28675,0.0
0.0016,34.67918,93421.69101,14.13069,0.05752,74.97523,0.01188,95.86101,0.0,0.006,20493.1182,0.0
0.0017,34.67996,93425.48148,14.13127,0.05752,74.97368,0.01188,95.85986,0.0,0.006,20493.94969,0.0
0.0018,34.68075,93429.27207,14.13184,0.05752,74.97214,0.01188,95.8587,0.0,0.006,20494.78119,0.0
0.0019,34.68153,93433.06276,14.13241,0.05751,74.97059,0.01188,95.85755,0.0,0.006,20495.61273,0.0
0.002,34.68231,93436.85357,14.13299,0.05751,74.96904,0.01188,95.85639,0.0,0.006,20496.44429,0.0
0.0021,34.68309,93440.6445,14.13356,0.05751,74.96749,0.01188,95.85524,0.0,0.006,20497.27587,0.0
0.0022,34.68388,93444.43553,14.13413,0.05751,74.96594,0.01188,95.85409,0.0,0.006,20498.10747,0.0
0.0023,34.68466,93448.22669,14.13471,0.05751,74.96439,0.01188,95.85293,0.0,0.006,20498.93911,0.0
0.0024,34.68544,93452.01795,14.13528,0.05751,74.96284,0.01188,95.85178,0.0,0.006,20499.77076,0.0
0.0025,34.68622,93455.80933,14.13585,0.05751,74.96129,0.01188,95.85062,0.0,0.006,20500.60245,0.0
0.0026,34.68701,93459.60082,14.13643,0.05751,74.95974,0.01188,95.84947,0.0,0.006,20501.43415,0.0
0.0027,34.68779,93463.39242,14.137,0.0575,74.9582,0.01188,95.84832,0.0,0.006,20502.26588,0.0
0.0028,34.68857,93467.18414,14.13758,0.0575,74.95665,0.01188,95.84716,0.0,0.006,20503.09764,0.0
0.0029,34.68935,93470.97597,14.13815,0.0575,74.9551,0.01188,95.84601,0.0,0.006,20503.92942,0.0
0.003,34.69014,93474.76791,14.13872,0.0575,74.95355,0.01189,95.84486,1e-05,0.00599,20504.76123,0.0
