Name,Total,Mock 5,,,,Mock 6,,,,Mock 7,,,,Mock 8,,,,Mock 9,,,
,,Total,A,B,C,Total,A,B,C,Total,A,B,C,Total,A,B,C,Total,A,B,C
blue5002,1016.25,238,100,100,38,238,100,59,79,116,30,56,30,221,100,21,100,203.25,82.50,59.00,61.75
ritul_kr_singh,937.50,200,100,100,0,224,100,59,65,26,26,0,0,300,100,100,100,187.50,81.50,64.75,41.25
vishesh312,917.50,169,100,46,23,198,100,59,39,183.50,100.00,52.50,31.00,183.50,100.00,52.50,31.00,183.50,100.00,52.50,31.00
ak2006,860.00,172.00,100.00,52.00,20.00,172.00,100.00,52.00,20.00,172.00,100.00,52.00,20.00,172,100,52,20,172.00,100.00,52.00,20.00
aryan12,772.50,169,100,46,23,205,100,59,46,77,8,64,5,167,100,52,15,154.50,77.00,55.25,22.25
starchan,736.67,147.33,69.33,60.67,17.33,227,100,100,27,57,8,44,5,158,100,38,20,147.33,69.33,60.67,17.33
SiddhantAttavar,725.00,145.00,100.00,40.00,5.00,145.00,100.00,40.00,5.00,145.00,100.00,40.00,5.00,145,100,40,5,145.00,100.00,40.00,5.00
PoPularPlusPlus,722.50,52,20,32,0,205,100,59,46,115,35,50,30,206,100,76,30,144.50,63.75,54.25,26.50
saarang123,720.00,144.00,65.00,61.50,17.50,159,100,59,0,129,30,64,35,144.00,65.00,61.50,17.50,144.00,65.00,61.50,17.50
nishuz,700.00,140.00,77.00,49.50,13.50,140,54,59,27,140.00,77.00,49.50,13.50,140,100,40,0,140.00,77.00,49.50,13.50
sumit_kk10,686.67,188,100,37,51,137.33,57.67,51.00,28.67,102,8,64,30,122,65,52,5,137.33,57.67,51.00,28.67
crap_the_coder,677.50,173,100,26,47,180,100,59,21,49,0,30,19,140,100,40,0,135.50,75.00,38.75,21.75
vendx.greyback,676.25,150,100,46,4,141,68,59,14,136,30,44,62,114,100,14,0,135.25,74.50,40.75,20.00
mshandilya,665.00,133.00,100.00,22.00,11.00,133,100,22,11,133.00,100.00,22.00,11.00,133.00,100.00,22.00,11.00,133.00,100.00,22.00,11.00
ShadowPenguin,660.00,160,100,37,23,122,100,22,0,132.00,100.00,24.33,7.67,114,100,14,0,132.00,100.00,24.33,7.67
